Run,v,p,g,Tear,Leakage
Center,350,180,0,0,0.15
Axial,350,170,0,0,0.5
Factorial,319,186,1.8,0.45,0.15
Factorial,380,174,1.8,0.85,0.05
Center,350,180,0,0.35,0.15
Axial,300,180,0,0.3,0.45
Axial,400,180,0,0.7,0.25
Axial,350,190,0,1.9,0
Center,350,180,0,0.25,0.05
Factorial,319,186,-1.8,0.1,0.35
Factorial,380,186,-1.8,0.15,0.4
Axial,350,180,3,3.9,0
Factorial,380,174,-1.8,0,0.45
Center,350,180,0,0.55,0.2
Axial,350,180,-3,0,1
Factorial,319,174,-1.8,0.05,0.2
Factorial,319,174,1.8,0.4,0.25
Factorial,380,186,1.8,4.3,0.05
Center,350,180,0,0,0