xT,xP,xC,xW,T,P,C,W,block,FR1,FR2
-1,-1,-1,-1,40,1.5,50,200,1,25,45
1,-1,-1,-1,80,1.5,50,200,2,71,51
-1,1,-1,-1,40,2.5,50,200,2,48,28
1,1,-1,-1,80,2.5,50,200,1,45,45
-1,-1,1,-1,40,1.5,100,200,2,68,68
1,-1,1,-1,80,1.5,100,200,1,40,40
-1,1,1,-1,40,2.5,100,200,1,60,60
1,1,1,-1,80,2.5,100,200,2,65,65
-1,-1,-1,1,40,1.5,50,400,2,43,43
1,-1,-1,1,80,1.5,50,400,1,80,80
-1,1,-1,1,40,2.5,50,400,1,25,45
1,1,-1,1,80,2.5,50,400,2,104,104
-1,-1,1,1,40,1.5,100,400,1,55,75
1,-1,1,1,80,1.5,100,400,2,86,66
-1,1,1,1,40,2.5,100,400,2,70,70
1,1,1,1,80,2.5,100,400,1,76,76